,countryterritoryCode,country,Covid_Cases,Covid_deaths,Tuberculosis_Cases,%Sanitazion,popData2019
102,NAM,Namibia,16536,160,6509.0,35.26,2494524.0
103,NPL,Nepal,248423,1698,27282.0,76.61,28608715.0
104,NLD,Netherlands,612746,10034,614.0,97.69,17282163.0
105,NZL,New Zealand,1740,25,316.0,100.0,4783062.0
106,NIC,Nicaragua,5887,162,1886.0,73.02,6545503.0
107,NER,Niger,2258,80,11376.0,14.75,23310719.0
108,NGA,Nigeria,73175,1197,135784.0,42.72,200963603.0
109,MKD,The former Yugoslav Republic of Macedonia,73638,2121,143.0,98.33,2077132.0
110,NOR,Norway,40022,387,144.0,98.05,5328212.0
111,OMN,Oman,126240,1471,313.0,99.32,4974992.0
112,PAK,Pakistan,440787,8832,272990.0,68.4,216565317.0
113,PAN,Panama,193007,3356,1133.0,84.57,4246440.0
114,PNG,Papua New Guinea,725,8,28227.0,19.22,8776119.0
115,PRY,Paraguay,93582,1953,2363.0,92.72,7044639.0
116,PER,Peru,984973,36677,23755.0,78.58,32510462.0
117,PHL,Philippines,449400,8733,256541.0,82.26,108116622.0
118,POL,Poland,1135676,22864,3150.0,100.0,37972812.0
119,PRT,Portugal,348744,5559,1402.0,99.6,10276617.0
120,QAT,Qatar,140961,240,861.0,100.0,2832071.0
121,ROU,Romania,556335,13385,7193.0,87.07,19414458.0
122,RUS,Russian Federation,2653928,46941,58723.0,89.39,145872260.0
123,RWA,Rwanda,6659,56,5511.0,68.83,12626938.0
124,LCA,Saint Lucia,275,4,8.0,83.37,182795.0
126,STP,Sao Tome and Principe,1009,17,92.0,47.62,215048.0
127,SAU,Saudi Arabia,359888,6048,2448.0,100.0,34268529.0
128,SEN,Senegal,17075,349,12808.0,56.78,16296362.0
129,SRB,Serbia,266432,2331,439.0,97.9,6963764.0
130,SYC,Seychelles,187,0,9.0,100.0,97741.0
131,SLE,Sierra Leone,2440,75,15706.0,16.51,7813207.0
132,SGP,Singapore,58320,29,2357.0,100.0,5804343.0
133,SVK,Slovakia,132984,1175,153.0,97.53,5450421.0
134,SVN,Slovenia,96314,1459,75.0,98.1,2080908.0
135,SLB,Solomon Islands,17,0,321.0,34.76,669821.0
136,SOM,Somalia,4579,121,17203.0,39.31,15442906.0
137,ZAF,South Africa,860964,23276,191074.0,78.47,58558267.0
138,KOR,Republic of Korea,43484,587,23514.0,99.94,51225321.0
139,SSD,South Sudan,3206,62,15969.0,15.84,11062114.0
140,ESP,Spain,1730575,47624,2949.0,99.9,46937060.0
141,LKA,Sri Lanka,32790,152,7035.0,93.65,21323734.0
142,SDN,Sudan,21386,1347,17360.0,36.89,42813237.0
143,SUR,Suriname,5353,117,103.0,89.95,581363.0
144,SWE,Sweden,320098,7514,316.0,99.29,10230185.0
145,CHE,Switzerland,372329,5378,351.0,99.9,8544527.0
146,SYR,Syrian Arab Republic,9166,518,2639.0,89.69,17070132.0
147,TJK,Tajikistan,12704,88,4148.0,96.77,9321023.0
148,THA,Thailand,4237,60,85837.0,98.71,69625581.0
149,TLS,Timor-Leste,31,0,3225.0,56.77,1293120.0
150,TGO,Togo,3251,66,2327.0,18.6,8082359.0
